CALLS,,PUTS,,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,183000.00,46.90,56.95,183000.00,95.00,-,-,0.15,18300.00,-0.05,0.05,89.65,2.00,1.00,1.00,
,-,-,-,-,-,-,183000.00,45.40,54.55,183000.00,97.50,-,-,0.55,36600.00,-,-,-,-,-,-,
,-,-,-,-,-,-,183000.00,42.60,51.70,183000.00,100.00,6100.00,0.05,0.20,6100.00,-,-,-,-,-,2.00,
,-,-,-,-,-,-,183000.00,40.90,49.20,183000.00,102.50,-,-,0.65,36600.00,-,-,-,-,-,-,
,-,-,-,-,-,-,183000.00,38.00,45.55,183000.00,105.00,-,-,0.45,6100.00,-,-,-,-,-,-,
,-,-,-,-,-,-,183000.00,33.05,43.30,183000.00,107.50,-,-,0.60,12200.00,-,-,-,-,-,-,
,-,-,-,-,-,-,183000.00,31.30,39.95,183000.00,110.00,6100.00,0.05,0.20,6100.00,0.15,0.25,78.12,2.00,-,10.00,
,-,-,-,-,-,-,183000.00,28.75,38.10,183000.00,112.50,-,-,0.65,12200.00,-,-,-,-,-,-,
,-,-,-,-,-,-,18300.00,28.30,32.50,18300.00,115.00,6100.00,0.10,0.15,12200.00,-,-,-,-,-,12.00,
,-,-,-,-,-,-,18300.00,25.80,30.05,18300.00,117.50,-,-,0.20,18300.00,-,-,-,-,-,5.00,
,-,-,-,-,-,-,18300.00,23.25,27.55,18300.00,120.00,12200.00,0.20,0.25,24400.00,-0.05,0.20,54.94,2.00,-,44.00,
,-,-,-,-,-,-,18300.00,20.75,25.70,18300.00,122.50,213500.00,0.05,0.90,6100.00,-,-,-,-,-,19.00,
,-,-,-,-,-,-,24400.00,19.00,22.70,24400.00,125.00,79300.00,0.30,0.40,36600.00,-,0.35,50.59,22.00,10.00,103.00,
,-,-,-,-,-,-,24400.00,16.55,21.30,24400.00,127.50,183000.00,0.10,1.45,36600.00,-,-,-,-,-,-,
,12.00,-,-,-,-,-,6100.00,15.40,15.85,12200.00,130.00,36600.00,0.60,0.70,24400.00,0.05,0.65,45.92,97.00,13.00,186.00,
,4.00,-,-,-,-,-,24400.00,11.45,15.80,24400.00,132.50,12200.00,0.35,2.10,6100.00,0.20,0.90,45.44,1.00,-,28.00,
,9.00,-,-,-,-,-,12200.00,11.05,11.40,6100.00,135.00,79300.00,1.15,1.25,36600.00,0.20,1.20,42.06,97.00,-2.00,163.00,
,5.00,-,3.00,41.78,9.80,-2.60,6100.00,8.85,9.20,6100.00,137.50,12200.00,1.60,1.65,30500.00,0.20,1.50,40.91,41.00,14.00,57.00,
,63.00,3.00,7.00,34.18,7.30,-2.35,18300.00,7.15,7.40,6100.00,140.00,36600.00,2.20,2.30,91500.00,0.40,2.25,38.77,497.00,21.00,358.00,
,21.00,3.00,7.00,37.08,5.95,-1.80,12200.00,5.50,5.75,12200.00,142.50,24400.00,3.00,3.10,12200.00,0.60,3.05,37.98,99.00,-9.00,51.00,
,149.00,60.00,197.00,37.47,4.20,-1.95,18300.00,4.20,4.25,6100.00,145.00,24400.00,4.10,4.20,12200.00,0.85,4.15,37.52,377.00,15.00,222.00,
,101.00,37.00,126.00,36.22,3.10,-1.60,24400.00,3.05,3.15,18300.00,147.50,30500.00,5.45,5.60,12200.00,0.90,5.25,37.68,55.00,-2.00,62.00,
,470.00,135.00,480.00,36.94,2.30,-1.25,61000.00,2.25,2.35,73200.00,150.00,6100.00,7.15,7.30,24400.00,1.50,7.15,39.51,54.00,-9.00,189.00,
,222.00,15.00,130.00,37.72,1.65,-1.05,48800.00,1.65,1.70,18300.00,152.50,12200.00,9.00,9.25,12200.00,1.45,8.65,38.59,4.00,-1.00,26.00,
,615.00,31.00,392.00,38.98,1.25,-0.70,122000.00,1.20,1.30,85400.00,155.00,6100.00,11.05,11.30,6100.00,1.85,10.85,33.92,7.00,-2.00,63.00,
,103.00,24.00,84.00,39.34,0.95,-0.50,30500.00,0.90,0.95,61000.00,157.50,6100.00,13.15,13.60,6100.00,2.00,12.85,41.45,2.00,-,5.00,
,577.00,-1.00,437.00,40.41,0.70,-0.35,231800.00,0.65,0.70,79300.00,160.00,6100.00,15.45,15.75,12200.00,1.70,14.80,37.98,1.00,-,98.00,
,75.00,2.00,23.00,42.15,0.55,-0.25,18300.00,0.50,0.55,85400.00,162.50,6100.00,17.55,18.65,24400.00,-,-,-,-,-,2.00,
,313.00,19.00,189.00,42.95,0.40,-0.20,408700.00,0.35,0.45,225700.00,165.00,6100.00,20.10,20.55,12200.00,-,-,-,-,-,4.00,
,37.00,-4.00,14.00,44.03,0.30,-0.20,12200.00,0.30,0.35,6100.00,167.50,24400.00,20.20,23.95,24400.00,-,-,-,-,-,3.00,
,304.00,14.00,104.00,47.65,0.25,-0.10,122000.00,0.25,0.30,164700.00,170.00,6100.00,24.95,25.40,6100.00,-,-,-,-,-,9.00,
,23.00,-,6.00,47.41,0.20,-0.10,12200.00,0.15,0.30,6100.00,172.50,18300.00,25.20,30.25,18300.00,-,-,-,-,-,-,
,98.00,-2.00,5.00,50.65,0.20,-,286700.00,0.15,0.20,6100.00,175.00,18300.00,27.65,31.90,18300.00,-,-,-,-,-,-,
,11.00,-,-,-,-,-,152500.00,0.05,0.30,18300.00,177.50,18300.00,30.05,34.65,18300.00,-,-,-,-,-,-,
,170.00,-,-,-,-,-,225700.00,0.10,0.20,24400.00,180.00,18300.00,32.40,37.20,18300.00,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,0.35,18300.00,182.50,18300.00,34.70,39.40,18300.00,-,-,-,-,-,-,
,26.00,-,4.00,56.53,0.10,-,54900.00,0.05,0.15,42700.00,185.00,183000.00,35.15,45.10,183000.00,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,0.35,18300.00,187.50,183000.00,36.85,44.75,183000.00,-,-,-,-,-,-,
,9.00,-,-,-,-,-,-,-,0.25,6100.00,190.00,183000.00,39.20,47.55,183000.00,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,0.35,18300.00,192.50,183000.00,41.70,49.90,183000.00,-,-,-,-,-,-,
,1.00,-,-,-,-,-,-,-,0.35,18300.00,195.00,183000.00,43.50,53.30,183000.00,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,0.35,18300.00,197.50,183000.00,45.60,56.10,183000.00,-,-,-,-,-,-,
,7.00,-,-,-,-,-,-,-,0.15,30500.00,200.00,183000.00,48.10,59.15,183000.00,-,-,-,-,-,-,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,